model,top_k,pool_size,mean_recall,all_top_k_contained,any_hit
sentence-transformers/all-MiniLM-L6-v2,1,10,0.9,0.9,0.9
sentence-transformers/all-MiniLM-L6-v2,1,25,0.9666666666666667,0.9666666666666667,0.9666666666666667
sentence-transformers/all-MiniLM-L6-v2,1,50,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L6-v2,1,75,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L6-v2,1,100,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L6-v2,5,10,0.7533333333333334,0.425,1.0
sentence-transformers/all-MiniLM-L6-v2,5,25,0.8866666666666667,0.6416666666666667,1.0
sentence-transformers/all-MiniLM-L6-v2,5,50,0.9766666666666668,0.9166666666666666,1.0
sentence-transformers/all-MiniLM-L6-v2,5,75,0.9900000000000001,0.9583333333333334,1.0
sentence-transformers/all-MiniLM-L6-v2,5,100,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L6-v2,10,10,0.5791666666666667,0.025,1.0
sentence-transformers/all-MiniLM-L6-v2,10,25,0.7841666666666666,0.25833333333333336,1.0
sentence-transformers/all-MiniLM-L6-v2,10,50,0.9533333333333334,0.7666666666666667,1.0
sentence-transformers/all-MiniLM-L6-v2,10,75,0.9841666666666666,0.9166666666666666,1.0
sentence-transformers/all-MiniLM-L6-v2,10,100,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L12-v2,1,10,0.9,0.9,0.9
sentence-transformers/all-MiniLM-L12-v2,1,25,0.9583333333333334,0.9583333333333334,0.9583333333333334
sentence-transformers/all-MiniLM-L12-v2,1,50,0.9916666666666667,0.9916666666666667,0.9916666666666667
sentence-transformers/all-MiniLM-L12-v2,1,75,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L12-v2,1,100,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L12-v2,5,10,0.735,0.31666666666666665,0.975
sentence-transformers/all-MiniLM-L12-v2,5,25,0.8766666666666667,0.575,1.0
sentence-transformers/all-MiniLM-L12-v2,5,50,0.9566666666666668,0.8083333333333333,1.0
sentence-transformers/all-MiniLM-L12-v2,5,75,0.9983333333333333,0.9916666666666667,1.0
sentence-transformers/all-MiniLM-L12-v2,5,100,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L12-v2,10,10,0.56,0.0,1.0
sentence-transformers/all-MiniLM-L12-v2,10,25,0.7783333333333334,0.18333333333333332,1.0
sentence-transformers/all-MiniLM-L12-v2,10,50,0.9233333333333335,0.525,1.0
sentence-transformers/all-MiniLM-L12-v2,10,75,0.99,0.9,1.0
sentence-transformers/all-MiniLM-L12-v2,10,100,1.0,1.0,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,1,10,0.9416666666666667,0.9416666666666667,0.9416666666666667
sentence-transformers/paraphrase-MiniLM-L3-v2,1,25,0.9666666666666667,0.9666666666666667,0.9666666666666667
sentence-transformers/paraphrase-MiniLM-L3-v2,1,50,0.9833333333333333,0.9833333333333333,0.9833333333333333
sentence-transformers/paraphrase-MiniLM-L3-v2,1,75,1.0,1.0,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,1,100,1.0,1.0,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,5,10,0.735,0.3,0.9916666666666667
sentence-transformers/paraphrase-MiniLM-L3-v2,5,25,0.9016666666666666,0.625,1.0
