model,top_k,pool_size,query_count,mean_recall,all_top_k_contained,any_hit
sentence-transformers/all-MiniLM-L6-v2,1,50,1000,0.969,0.969,0.969
sentence-transformers/all-MiniLM-L6-v2,1,100,1000,0.991,0.991,0.991
sentence-transformers/all-MiniLM-L6-v2,1,250,1000,0.998,0.998,0.998
sentence-transformers/all-MiniLM-L6-v2,1,500,1000,0.999,0.999,0.999
sentence-transformers/all-MiniLM-L6-v2,1,1000,1000,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L6-v2,5,50,1000,0.9166000000000001,0.695,0.999
sentence-transformers/all-MiniLM-L6-v2,5,100,1000,0.96,0.837,0.999
sentence-transformers/all-MiniLM-L6-v2,5,250,1000,0.9874,0.946,1.0
sentence-transformers/all-MiniLM-L6-v2,5,500,1000,0.9972000000000001,0.99,1.0
sentence-transformers/all-MiniLM-L6-v2,5,1000,1000,0.9996,0.998,1.0
sentence-transformers/all-MiniLM-L6-v2,10,50,1000,0.8671000000000001,0.353,1.0
sentence-transformers/all-MiniLM-L6-v2,10,100,1000,0.9335000000000001,0.596,1.0
sentence-transformers/all-MiniLM-L6-v2,10,250,1000,0.9796000000000001,0.843,1.0
sentence-transformers/all-MiniLM-L6-v2,10,500,1000,0.9952000000000001,0.959,1.0
sentence-transformers/all-MiniLM-L6-v2,10,1000,1000,0.9992000000000001,0.992,1.0
sentence-transformers/all-MiniLM-L12-v2,1,50,1000,0.95,0.95,0.95
sentence-transformers/all-MiniLM-L12-v2,1,100,1000,0.975,0.975,0.975
sentence-transformers/all-MiniLM-L12-v2,1,250,1000,0.994,0.994,0.994
sentence-transformers/all-MiniLM-L12-v2,1,500,1000,0.998,0.998,0.998
sentence-transformers/all-MiniLM-L12-v2,1,1000,1000,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L12-v2,5,50,1000,0.8866,0.593,1.0
sentence-transformers/all-MiniLM-L12-v2,5,100,1000,0.942,0.772,1.0
sentence-transformers/all-MiniLM-L12-v2,5,250,1000,0.9814,0.917,1.0
sentence-transformers/all-MiniLM-L12-v2,5,500,1000,0.994,0.971,1.0
sentence-transformers/all-MiniLM-L12-v2,5,1000,1000,0.9994000000000001,0.997,1.0
sentence-transformers/all-MiniLM-L12-v2,10,50,1000,0.8246,0.254,1.0
sentence-transformers/all-MiniLM-L12-v2,10,100,1000,0.9087000000000001,0.477,1.0
sentence-transformers/all-MiniLM-L12-v2,10,250,1000,0.9702999999999999,0.78,1.0
sentence-transformers/all-MiniLM-L12-v2,10,500,1000,0.9907999999999999,0.914,1.0
sentence-transformers/all-MiniLM-L12-v2,10,1000,1000,0.9987,0.988,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,1,50,1000,0.964,0.964,0.964
sentence-transformers/paraphrase-MiniLM-L3-v2,1,100,1000,0.98,0.98,0.98
sentence-transformers/paraphrase-MiniLM-L3-v2,1,250,1000,0.992,0.992,0.992
sentence-transformers/paraphrase-MiniLM-L3-v2,1,500,1000,1.0,1.0,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,1,1000,1000,1.0,1.0,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,5,50,1000,0.9087999999999999,0.662,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,5,100,1000,0.9564000000000001,0.823,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,5,250,1000,0.986,0.937,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,5,500,1000,0.9954000000000001,0.978,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,5,1000,1000,0.9997999999999999,0.999,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,10,50,1000,0.8565,0.334,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,10,100,1000,0.9307000000000001,0.587,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,10,250,1000,0.9786,0.844,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,10,500,1000,0.9945,0.953,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,10,1000,1000,0.9989,0.989,1.0
sentence-transformers/paraphrase-albert-small-v2,1,50,1000,0.651,0.651,0.651
sentence-transformers/paraphrase-albert-small-v2,1,100,1000,0.757,0.757,0.757
sentence-transformers/paraphrase-albert-small-v2,1,250,1000,0.88,0.88,0.88
sentence-transformers/paraphrase-albert-small-v2,1,500,1000,0.963,0.963,0.963
sentence-transformers/paraphrase-albert-small-v2,1,1000,1000,0.994,0.994,0.994
sentence-transformers/paraphrase-albert-small-v2,5,50,1000,0.5986,0.101,0.987
sentence-transformers/paraphrase-albert-small-v2,5,100,1000,0.717,0.245,0.998
sentence-transformers/paraphrase-albert-small-v2,5,250,1000,0.8657999999999999,0.537,1.0
sentence-transformers/paraphrase-albert-small-v2,5,500,1000,0.9498,0.792,1.0
sentence-transformers/paraphrase-albert-small-v2,5,1000,1000,0.992,0.962,1.0
sentence-transformers/paraphrase-albert-small-v2,10,50,1000,0.5522,0.012,0.998
sentence-transformers/paraphrase-albert-small-v2,10,100,1000,0.6815,0.064,1.0
sentence-transformers/paraphrase-albert-small-v2,10,250,1000,0.846,0.314,1.0
sentence-transformers/paraphrase-albert-small-v2,10,500,1000,0.9395000000000001,0.615,1.0
sentence-transformers/paraphrase-albert-small-v2,10,1000,1000,0.99,0.919,1.0
intfloat/e5-small-v2,1,50,1000,0.952,0.952,0.952
intfloat/e5-small-v2,1,100,1000,0.976,0.976,0.976
intfloat/e5-small-v2,1,250,1000,0.991,0.991,0.991
intfloat/e5-small-v2,1,500,1000,0.994,0.994,0.994
intfloat/e5-small-v2,1,1000,1000,0.997,0.997,0.997
intfloat/e5-small-v2,5,50,1000,0.8766,0.579,1.0
intfloat/e5-small-v2,5,100,1000,0.937,0.757,1.0
intfloat/e5-small-v2,5,250,1000,0.9722000000000001,0.881,1.0
intfloat/e5-small-v2,5,500,1000,0.9860000000000001,0.94,1.0
intfloat/e5-small-v2,5,1000,1000,0.9934000000000001,0.974,1.0
intfloat/e5-small-v2,10,50,1000,0.8074,0.251,1.0
intfloat/e5-small-v2,10,100,1000,0.8994000000000001,0.491,1.0
intfloat/e5-small-v2,10,250,1000,0.9586000000000001,0.727,1.0
intfloat/e5-small-v2,10,500,1000,0.9802000000000001,0.857,1.0
intfloat/e5-small-v2,10,1000,1000,0.9897,0.92,1.0
BAAI/bge-small-en-v1.5,1,50,1000,0.918,0.918,0.918
BAAI/bge-small-en-v1.5,1,100,1000,0.958,0.958,0.958
BAAI/bge-small-en-v1.5,1,250,1000,0.986,0.986,0.986
BAAI/bge-small-en-v1.5,1,500,1000,0.997,0.997,0.997
BAAI/bge-small-en-v1.5,1,1000,1000,0.999,0.999,0.999
BAAI/bge-small-en-v1.5,5,50,1000,0.8574,0.539,1.0
BAAI/bge-small-en-v1.5,5,100,1000,0.9228000000000001,0.71,1.0
BAAI/bge-small-en-v1.5,5,250,1000,0.976,0.896,1.0
BAAI/bge-small-en-v1.5,5,500,1000,0.9912000000000001,0.96,1.0
BAAI/bge-small-en-v1.5,5,1000,1000,0.9984,0.992,1.0
BAAI/bge-small-en-v1.5,10,50,1000,0.7892,0.19,1.0
BAAI/bge-small-en-v1.5,10,100,1000,0.8826000000000002,0.39,1.0
BAAI/bge-small-en-v1.5,10,250,1000,0.9606000000000001,0.724,1.0
BAAI/bge-small-en-v1.5,10,500,1000,0.9869,0.905,1.0
BAAI/bge-small-en-v1.5,10,1000,1000,0.9985,0.986,1.0
