model,top_k,pool_size,query_count,mean_recall,all_top_k_contained,any_hit
sentence-transformers/all-MiniLM-L6-v2,1,50,1000,0.962,0.962,0.962
sentence-transformers/all-MiniLM-L6-v2,1,100,1000,0.978,0.978,0.978
sentence-transformers/all-MiniLM-L6-v2,1,250,1000,0.99,0.99,0.99
sentence-transformers/all-MiniLM-L6-v2,1,500,1000,0.993,0.993,0.993
sentence-transformers/all-MiniLM-L6-v2,1,1000,1000,0.997,0.997,0.997
sentence-transformers/all-MiniLM-L6-v2,5,50,1000,0.913,0.719,0.999
sentence-transformers/all-MiniLM-L6-v2,5,100,1000,0.9512,0.828,1.0
sentence-transformers/all-MiniLM-L6-v2,5,250,1000,0.98,0.922,1.0
sentence-transformers/all-MiniLM-L6-v2,5,500,1000,0.9904000000000001,0.962,1.0
sentence-transformers/all-MiniLM-L6-v2,5,1000,1000,0.9954,0.978,1.0
sentence-transformers/all-MiniLM-L6-v2,10,50,1000,0.8497,0.407,1.0
sentence-transformers/all-MiniLM-L6-v2,10,100,1000,0.913,0.573,1.0
sentence-transformers/all-MiniLM-L6-v2,10,250,1000,0.9642999999999999,0.789,1.0
sentence-transformers/all-MiniLM-L6-v2,10,500,1000,0.9825,0.881,1.0
sentence-transformers/all-MiniLM-L6-v2,10,1000,1000,0.9925,0.943,1.0
