model_a,model_b,absolute_mrr,relative_mrr,delta_mrr,absolute_spearman,relative_spearman,absolute_top1_overlap,relative_top1_overlap
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L12-v2,0.9402314814814815,0.8921858465608465,-0.04804563492063496,0.5392232717736677,0.76413928048399,0.6083333333333333,0.36666666666666664
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/paraphrase-MiniLM-L3-v2,0.8679695767195768,0.8353406084656085,-0.032628968253968216,0.46695916735647175,0.6561720551510606,0.425,0.35
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/paraphrase-albert-small-v2,0.7320337301587301,0.6022123015873017,-0.12982142857142842,0.20534168890990262,0.34272161537264656,0.3,0.16666666666666666
sentence-transformers/all-MiniLM-L6-v2,intfloat/e5-small-v2,0.8943981481481482,0.8392328042328042,-0.055165343915344,0.39642445626925576,0.7538432109147695,0.525,0.3333333333333333
sentence-transformers/all-MiniLM-L6-v2,BAAI/bge-small-en-v1.5,0.9125330687830687,0.8457738095238094,-0.0667592592592593,0.27638840046692414,0.6951530509960459,0.525,0.35833333333333334
sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/paraphrase-MiniLM-L3-v2,0.8862500000000001,0.830598544973545,-0.05565145502645508,0.40053115118242494,0.6351556278271628,0.49166666666666664,0.3416666666666667
sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/paraphrase-albert-small-v2,0.760026455026455,0.5938921957671959,-0.16613425925925918,0.17973236174977772,0.31101969347742503,0.3,0.175
sentence-transformers/all-MiniLM-L12-v2,intfloat/e5-small-v2,0.9018154761904762,0.854265873015873,-0.04754960317460322,0.37678628834692696,0.8103011063687805,0.5916666666666667,0.49166666666666664
sentence-transformers/all-MiniLM-L12-v2,BAAI/bge-small-en-v1.5,0.9155555555555555,0.858912037037037,-0.056643518518518454,0.3251638607806936,0.7144092173273546,0.5833333333333334,0.4666666666666667
sentence-transformers/paraphrase-MiniLM-L3-v2,sentence-transformers/paraphrase-albert-small-v2,0.7691269841269841,0.6216699735449736,-0.14745701058201055,0.20042114770612926,0.26491011756613225,0.31666666666666665,0.225
sentence-transformers/paraphrase-MiniLM-L3-v2,intfloat/e5-small-v2,0.9081349206349206,0.7871759259259259,-0.12095899470899474,0.35260850325823095,0.7093764347101937,0.5,0.325
sentence-transformers/paraphrase-MiniLM-L3-v2,BAAI/bge-small-en-v1.5,0.8777083333333332,0.8321626984126984,-0.04554563492063479,0.3023322942225074,0.6544899235928975,0.45,0.3333333333333333
sentence-transformers/paraphrase-albert-small-v2,intfloat/e5-small-v2,0.7596428571428572,0.4978869047619048,-0.2617559523809524,0.16950654194782414,0.3627071938059256,0.3416666666666667,0.19166666666666668
sentence-transformers/paraphrase-albert-small-v2,BAAI/bge-small-en-v1.5,0.7181316137566137,0.5357010582010582,-0.18243055555555554,0.38890032712270756,0.42310815878341945,0.3,0.16666666666666666
intfloat/e5-small-v2,BAAI/bge-small-en-v1.5,0.8996626984126983,0.8050496031746032,-0.09461309523809514,0.2887391252560717,0.8079897271383094,0.525,0.39166666666666666
