model,top_k,pool_size,mean_recall,all_top_k_contained,any_hit
sentence-transformers/all-MiniLM-L6-v2,1,25,0.96,0.96,0.96
sentence-transformers/all-MiniLM-L6-v2,1,50,0.972,0.972,0.972
sentence-transformers/all-MiniLM-L6-v2,1,100,0.989,0.989,0.989
sentence-transformers/all-MiniLM-L6-v2,1,250,0.998,0.998,0.998
sentence-transformers/all-MiniLM-L6-v2,1,500,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L6-v2,5,25,0.8880000000000001,0.65,0.999
sentence-transformers/all-MiniLM-L6-v2,5,50,0.9418000000000001,0.793,1.0
sentence-transformers/all-MiniLM-L6-v2,5,100,0.9763999999999999,0.905,1.0
sentence-transformers/all-MiniLM-L6-v2,5,250,0.997,0.985,1.0
sentence-transformers/all-MiniLM-L6-v2,5,500,0.9997999999999999,0.999,1.0
sentence-transformers/all-MiniLM-L6-v2,10,25,0.8061000000000001,0.301,1.0
sentence-transformers/all-MiniLM-L6-v2,10,50,0.8957999999999999,0.504,1.0
sentence-transformers/all-MiniLM-L6-v2,10,100,0.9543,0.727,1.0
sentence-transformers/all-MiniLM-L6-v2,10,250,0.992,0.936,1.0
sentence-transformers/all-MiniLM-L6-v2,10,500,0.9995,0.996,1.0
